algorithm	labels
alpha_lino_6633-omicsintegrator2-params-NIXQON6	2
alpha_lino_6633-omicsintegrator2-params-I5EKII6	2
alpha_lino_6633-omicsintegrator2-params-ON3OUHY	2
alpha_lino_6633-omicsintegrator2-params-RCXKAY7	2
alpha_lino_6633-omicsintegrator2-params-KMHTT5N	2
alpha_lino_6633-omicsintegrator2-params-JHH34ZE	2
alpha_lino_6633-omicsintegrator2-params-Z2C4Y5G	2
alpha_lino_6633-omicsintegrator2-params-R2T74G3	2
alpha_lino_6633-omicsintegrator2-params-O3SYN4K	2
alpha_lino_6633-omicsintegrator2-params-K2CK6DC	1
alpha_lino_6633-omicsintegrator2-params-ISZN2DE	1
alpha_lino_6633-omicsintegrator2-params-J5QF4A3	3
alpha_lino_6633-omicsintegrator2-params-ROZICUS	2
alpha_lino_6633-omicsintegrator2-params-B6FPMEP	2
alpha_lino_6633-omicsintegrator2-params-G6QWKUF	2
alpha_lino_6633-omicsintegrator2-params-RNOITRI	2
alpha_lino_6633-omicsintegrator2-params-24QHVS5	2
alpha_lino_6633-omicsintegrator2-params-H5EGTCE	2
alpha_lino_6633-omicsintegrator2-params-SX6MWZF	1
alpha_lino_6633-omicsintegrator2-params-YYQQGSW	1
alpha_lino_6633-omicsintegrator2-params-VKYXWNI	3
alpha_lino_6633-omicsintegrator2-params-JMDFQGQ	0
alpha_lino_6633-omicsintegrator2-params-2WECIOD	0
alpha_lino_6633-omicsintegrator2-params-XLW3AU2	2
alpha_lino_6633-omicsintegrator2-params-TK757XH	2
alpha_lino_6633-omicsintegrator2-params-G3MKBIH	2
alpha_lino_6633-omicsintegrator2-params-62LFP5D	2
alpha_lino_6633-omicsintegrator2-params-QGDDCNR	1
alpha_lino_6633-omicsintegrator2-params-BERGTKM	1
alpha_lino_6633-omicsintegrator2-params-QUD5DGU	4
alpha_lino_6633-omicsintegrator2-params-VUTDEKI	0
alpha_lino_6633-omicsintegrator2-params-G5PCTWW	0
alpha_lino_6633-omicsintegrator2-params-BLZ4Z5H	6
alpha_lino_6633-omicsintegrator2-params-QA7UVT2	0
alpha_lino_6633-omicsintegrator2-params-EUXS342	0
alpha_lino_6633-omicsintegrator2-params-2ETE5TC	2
alpha_lino_6633-omicsintegrator2-params-XQYZBRY	1
alpha_lino_6633-omicsintegrator2-params-K44Y7SY	1
alpha_lino_6633-omicsintegrator2-params-RIX5P6Y	4
alpha_lino_6633-omicsintegrator2-params-KSSGLIJ	0
alpha_lino_6633-omicsintegrator2-params-VOU2GLP	0
alpha_lino_6633-omicsintegrator2-params-3XS3BUE	5
alpha_lino_6633-omicsintegrator2-params-GWFZFC3	0
alpha_lino_6633-omicsintegrator2-params-BBDIWEE	0
alpha_lino_6633-omicsintegrator2-params-WSTZQ5T	0
alpha_lino_6633-omicsintegrator2-params-FCBNYQN	1
alpha_lino_6633-omicsintegrator2-params-ZK2ZPTQ	1
alpha_lino_6633-omicsintegrator2-params-E7S3CYK	4
alpha_lino_6633-omicsintegrator2-params-JDGM2QR	0
alpha_lino_6633-omicsintegrator2-params-2VM5MQL	0
alpha_lino_6633-omicsintegrator2-params-O2NMIFG	0
alpha_lino_6633-omicsintegrator2-params-GIILIYF	0
alpha_lino_6633-omicsintegrator2-params-DGG4UVF	0
alpha_lino_6633-omicsintegrator2-params-CIOIRMT	0
