NODEID	prize
IMDH2_HUMAN	1.0
chebi:15652	1.0
HPRT_HUMAN	1.0
NUD16_HUMAN	1.0
DGUOK_HUMAN	1.0
chebi:17202	1.0
DPOE2_HUMAN	1.0
NDK5_HUMAN	1.0
PRI2_HUMAN	1.0
PDE6C_HUMAN	1.0
DPOG1_HUMAN	1.0
PDE4C_HUMAN	1.0
chebi:17808	1.0
chebi:17596	1.0
GUAA_HUMAN	1.0
chebi:26078	1.0
chebi:17368	1.0
PDE10_HUMAN	1.0
chebi:32816	1.0
chebi:18319	1.0
chebi:18107	1.0
PDE7B_HUMAN	1.0
chebi:15883	1.0
IMDH1_HUMAN	1.0
DPOE4_HUMAN	1.0
PGM1_HUMAN	1.0
REV3L_HUMAN	1.0
5NT1B_HUMAN	1.0
AP4A_HUMAN	1.0
chebi:16134	1.0
NT5C_HUMAN	1.0
PNPH_HUMAN	1.0
GMPR1_HUMAN	1.0
PUR8_HUMAN	1.0
PDE6B_HUMAN	1.0
chebi:17172	1.0
DPOD4_HUMAN	1.0
PDE1C_HUMAN	1.0
chebi:28862	1.0
