NODEID	prize
UDB17_HUMAN	1.0
chebi:28835	1.0
chebi:16341	1.0
chebi:78600	1.0
UDB11_HUMAN	1.0
chebi:16032	1.0
chebi:17499	1.0
chebi:16469	1.0
chebi:783	1.0
UD17_HUMAN	1.0
chebi:16827	1.0
chebi:27832	1.0
chebi:1156	1.0
STS_HUMAN	1.0
chebi:15339	1.0
H17B6_HUMAN	1.0
UD16_HUMAN	1.0
UD14_HUMAN	1.0
chebi:27967	1.0
chebi:15994	1.0
CP343_HUMAN	1.0
chebi:28247	1.0
chebi:17513	1.0
UD11_HUMAN	1.0
chebi:27974	1.0
ST2B1_HUMAN	1.0
