node1,node2
AANAT,ALDH6A1
AANAT,ALPG
AANAT,ALPI
AANAT,ALPL
AANAT,ALPP
AANAT,ASAH1
AANAT,ASMT
AANAT,ATAT1
AANAT,AWAT2
AANAT,BAAT
AANAT,BCKDHA
AANAT,BCKDHB
AANAT,CERS1
AANAT,CES5A
AANAT,CHAT
AANAT,COASY
AANAT,CPT1A
AANAT,CPT1B
AANAT,CPT1C
AANAT,CPT2
AANAT,DBT
AANAT,DHTKD1
AANAT,DLAT
AANAT,DLD
AANAT,DLST
AANAT,ELOVL6
AANAT,ENPP1
AANAT,FASN
AANAT,GCAT
AANAT,GLYCTK
AANAT,GNPNAT1
AANAT,GPAT3
AANAT,GPD2
AANAT,HADHB
AANAT,HDAC6
AANAT,HDAC8
AANAT,HGSNAT
AANAT,HIBCH
AANAT,IDH1
AANAT,IDH2
AANAT,IDO2
AANAT,INMT
AANAT,JMJD7-PLA2G4B
AANAT,LEFTY1
AANAT,LPCAT2
AANAT,LPCAT4
AANAT,MORC2
AANAT,NAGS
AANAT,NAT1
AANAT,NAT2
AANAT,NUDT12
AANAT,OGDHL
AANAT,OGDH
AANAT,PAFAH2
AANAT,PDHB
AANAT,PIGW
AANAT,PLA2G10
AANAT,PLA2G12A
AANAT,PLA2G12B
AANAT,PLA2G1B
AANAT,PLA2G2A
AANAT,PLA2G2C
AANAT,PLA2G2D
AANAT,PLA2G2E
AANAT,PLA2G2F
AANAT,PLA2G3
AANAT,PLA2G4A
AANAT,PLA2G4B
AANAT,PLA2G4E
AANAT,PLA2G5
AANAT,PLA2G6
AANAT,PLB1
AANAT,PPT1
AANAT,PYCR1
AANAT,PYCR2
AANAT,PYCR3
AANAT,SAT2
AANAT,SCP2
AANAT,SLC25A16
AANAT,SLC25A42
AANAT,SLC27A2
AANAT,SLC27A3
AANAT,SLC27A4
AANAT,SLC27A5
AANAT,SLC27A6
AANAT,SOAT1
AANAT,SPTLC1
AANAT,SUCLA2
AANAT,SUCLG1
AANAT,SUCLG2
AANAT,SULT1A1
AANAT,SULT1A2
AANAT,UGT2B11
AARS1,ADSL
AARS1,AK1
AARS1,AK2
AARS1,AK3
AARS1,AK4
AARS1,AK5
AARS1,AK7
AARS1,AK8
AARS1,AMPD1
AARS1,AMPD2
AARS1,AMPD3
AARS1,ANKH
AARS1,APRT
AARS1,ASNS
AARS1,DARS1
AARS1,ENPP1
AARS1,EPRS1
AARS1,LHPP
AARS1,NARS1
AARS1,NT5C1A
AARS1,NT5C1B
AARS1,NT5C2
AARS1,NT5C3A
AARS1,NT5E
AARS1,PPA1
AARS1,PRPS1L1
AARS1,SEPHS2
AARS2,ACSL4
AARS2,ACSM5
AARS2,ACSS2
AARS2,ADK
AARS2,ADPGK
AARS2,ADSL
AARS2,AK1
AARS2,AK2
AARS2,AK3
AARS2,AK4
AARS2,AK5
AARS2,AK7
AARS2,AK8
AARS2,AMPD1
AARS2,AMPD2
AARS2,AMPD3
AARS2,APRT
AARS2,ASNS
AARS2,ASS1
AARS2,CARNS1
AARS2,DARS1
