gene_name	entry_name
PLA2G10	PA2GX_HUMAN
FDFT1	FDFT_HUMAN
UGCG	CEGT_HUMAN
CYP1A2	CP1A2_HUMAN
RARS2	SYRM_HUMAN
GBA3	GBA3_HUMAN
APRT	APT_HUMAN
MTR	METH_HUMAN
UGT2B11	UDB11_HUMAN
HMOX1	HMOX1_HUMAN
CPT1A	CPT1A_HUMAN
GCLM	GSH0_HUMAN
ST6GALNAC1	SIA7A_HUMAN
AANAT	SNAT_HUMAN
PCCA	PCCA_HUMAN
ACP6	PPA6_HUMAN
TARS2	SYTM_HUMAN
CYP1B1	CP1B1_HUMAN
DOLPP1	DOPP1_HUMAN
GSTA2	GSTA2_HUMAN
EBP	EBP_HUMAN
UGT2B28	UDB28_HUMAN
KHK	KHK_HUMAN
MVD	MVD1_HUMAN
PRIM2	PRI2_HUMAN
PTDSS1	PTSS1_HUMAN
PPT1	PPT1_HUMAN
RFK	RIFK_HUMAN
TK1	KITH_HUMAN
ADH1C	ADH1G_HUMAN
PIGA	PIGA_HUMAN
CHSY1	CHSS1_HUMAN
TKFC	TKFC_HUMAN
LCAT	LCAT_HUMAN
CRLS1	CRLS1_HUMAN
PDE6B	PDE6B_HUMAN
PTS	PTPS_HUMAN
CYP27B1	CP27B_HUMAN
PNLIPRP2	LIPR2_HUMAN
ENPP1	ENPP1_HUMAN
GSTM1	GSTM1_HUMAN
MTM1	MTM1_HUMAN
PDXK	PDXK_HUMAN
CYP2C8	CP2C8_HUMAN
UGT1A3	UD13_HUMAN
B3GNT3	B3GN3_HUMAN
AGXT	AGT1_HUMAN
PRIM1	PRI1_HUMAN
PGM3	AGM1_HUMAN
CHI3L1	CH3L1_HUMAN
PCYT2	PCY2_HUMAN
ARSA	ARSA_HUMAN
PANK3	PANK3_HUMAN
CYP11A1	CP11A_HUMAN
PDE8A	PDE8A_HUMAN
CYP2C18	CP2CI_HUMAN
UGT2B10	UDB10_HUMAN
DAO	OXDA_HUMAN
IMPDH1	IMDH1_HUMAN
PGP	PGP_HUMAN
UGT2B17	UDB17_HUMAN
AMD1	DCAM_HUMAN
ADCY3	ADCY3_HUMAN
CKMT2	KCRS_HUMAN
FBP1	F16P1_HUMAN
ADPRM	ADPRM_HUMAN
ATIC	PUR9_HUMAN
HSD17B7	DHB7_HUMAN
MTMR6	MTMR6_HUMAN
ACADS	ACADS_HUMAN
ALOX12	LOX12_HUMAN
GSR	GSHR_HUMAN
HKDC1	HKDC1_HUMAN
HSD17B3	DHB3_HUMAN
MIF	MIF_HUMAN
TPK1	TPK1_HUMAN
WARS2	SYWM_HUMAN
BAAT	BAAT_HUMAN
PLOD1	PLOD1_HUMAN
ARG1	ARGI1_HUMAN
GMPS	GUAA_HUMAN
GNPNAT1	GNA1_HUMAN
ADO	AEDO_HUMAN
ALDH7A1	AL7A1_HUMAN
CBS	CBS_HUMAN
GLUD2	DHE4_HUMAN
POGLUT1	PGLT1_HUMAN
UPB1	BUP1_HUMAN
PNPO	PNPO_HUMAN
PDE3A	PDE3A_HUMAN
GATM	GATM_HUMAN
GSTA5	GSTA5_HUMAN
PHOSPHO1	PHOP1_HUMAN
SULT1A2	ST1A2_HUMAN
POMGNT1	PMGT1_HUMAN
ADH6	ADH6_HUMAN
GOT1	AATC_HUMAN
ACO1	ACOHC_HUMAN
ADH4	ADH4_HUMAN
CA1	CAH1_HUMAN
PDE1B	PDE1B_HUMAN
PIP4K2A	PI42A_HUMAN
GAD2	DCE2_HUMAN
POLE2	DPOE2_HUMAN
NUDT12	NUD12_HUMAN
DAD1	DAD1_HUMAN
UGT1A7	UD17_HUMAN
CYP39A1	CP39A_HUMAN
ALG9	ALG9_HUMAN
FAXDC2	FXDC2_HUMAN
NT5C2	5NTC_HUMAN
HAGH	GLO2_HUMAN
SHMT1	GLYC_HUMAN
DHRS3	DHRS3_HUMAN
GLA	AGAL_HUMAN
HSD3B7	3BHS7_HUMAN
PEMT	PEMT_HUMAN
PLA2G3	PA2G3_HUMAN
SCD5	SCD5_HUMAN
UGT1A8	UD18_HUMAN
AACS	AACS_HUMAN
GYS2	GYS2_HUMAN
MAOB	AOFB_HUMAN
POFUT1	OFUT1_HUMAN
ALDH1L2	AL1L2_HUMAN
YARS2	SYYM_HUMAN
POLD1	DPOD1_HUMAN
HIBADH	3HIDH_HUMAN
NT5E	5NTD_HUMAN
NME5	NDK5_HUMAN
FADS2	FADS2_HUMAN
ACACA	ACACA_HUMAN
AZIN2	AZIN2_HUMAN
FASN	FAS_HUMAN
ACSS2	ACSA_HUMAN
BCHE	CHLE_HUMAN
INPP5J	PI5PA_HUMAN
MGST1	MGST1_HUMAN
LPCAT2	PCAT2_HUMAN
GNE	GLCNE_HUMAN
HSD17B10	HCD2_HUMAN
ACHE	ACES_HUMAN
AKR1C4	AK1C4_HUMAN
NAPRT	PNCB_HUMAN
TREH	TREA_HUMAN
AKR1B1	ALDR_HUMAN
SUCLG1	SUCA_HUMAN
PFKP	PFKAP_HUMAN
CTPS1	PYRG1_HUMAN
ALDH6A1	MMSA_HUMAN
NME2	NDKB_HUMAN
PYGM	PYGM_HUMAN
PGS1	PGPS1_HUMAN
DHRS4	DHRS4_HUMAN
HPRT1	HPRT_HUMAN
COMT	COMT_HUMAN
ENO1	ENOA_HUMAN
NMRK1	NRK1_HUMAN
FUT4	FUT4_HUMAN
EPHX2	HYES_HUMAN
PLA2G2E	PA2GE_HUMAN
MGAT3	MGAT3_HUMAN
PARS2	SYPM_HUMAN
CSAD	CSAD_HUMAN
HADHA	ECHA_HUMAN
PRDX4	PRDX4_HUMAN
GSTO1	GSTO1_HUMAN
LSS	LSS_HUMAN
MDH1	MDHC_HUMAN
PDXP	PLPP_HUMAN
PIK3C2B	P3C2B_HUMAN
ST6GALNAC6	SIA7F_HUMAN
SULT2B1	ST2B1_HUMAN
PDE11A	PDE11_HUMAN
REV3L	REV3L_HUMAN
ALG12	ALG12_HUMAN
ST6GALNAC5	SIA7E_HUMAN
PIGG	PIGG_HUMAN
FPGS	FOLC_HUMAN
SGMS1	SMS1_HUMAN
GSTM3	GSTM3_HUMAN
CHST11	CHSTB_HUMAN
PFKFB4	F264_HUMAN
OGDHL	OGDHL_HUMAN
TYMP	TYPH_HUMAN
PPOX	PPOX_HUMAN
ALG8	ALG8_HUMAN
CYP3A43	CP343_HUMAN
ENTPD5	ENTP5_HUMAN
HMOX2	HMOX2_HUMAN
PDE6A	PDE6A_HUMAN
POLD2	DPOD2_HUMAN
ACOT12	ACO12_HUMAN
ALLC	ALLC_HUMAN
PLCE1	PLCE1_HUMAN
NADSYN1	NADE_HUMAN
EXTL1	EXTL1_HUMAN
GCH1	GCH1_HUMAN
GSTM4	GSTM4_HUMAN
EPHX1	HYEP_HUMAN
XYLT2	XYLT2_HUMAN
CYP2D6	CP2D6_HUMAN
PAH	PH4H_HUMAN
HSD17B4	DHB4_HUMAN
ALDH3A2	AL3A2_HUMAN
AGK	AGK_HUMAN
PHPT1	PHP14_HUMAN
ACOT2	ACOT2_HUMAN
NAGS	NAGS_HUMAN
CHKA	CHKA_HUMAN
PDE4A	PDE4A_HUMAN
AOC1	AOC1_HUMAN
ABO	BGAT_HUMAN
AMY2A	AMYP_HUMAN
