Node1	Node2	Directionality
GALM_HUMAN	HXK1_HUMAN	U
GALM_HUMAN	HXK2_HUMAN	U
GALM_HUMAN	HXK3_HUMAN	U
GALM_HUMAN	HKDC1_HUMAN	U
GALM_HUMAN	chebi:15903	U
GALM_HUMAN	chebi:17925	U
G3P_HUMAN	ALDOC_HUMAN	U
G3P_HUMAN	PMGE_HUMAN	U
G3P_HUMAN	chebi:16001	U
G3P_HUMAN	chebi:29052	U
HXK4_HUMAN	ADPGK_HUMAN	U
HXK4_HUMAN	G6PC1	U
HXK4_HUMAN	G6PC2_HUMAN	U
HXK4_HUMAN	GALM_HUMAN	U
HXK4_HUMAN	G6PI_HUMAN	U
HXK4_HUMAN	HXK1_HUMAN	U
HXK4_HUMAN	HXK2_HUMAN	U
HXK4_HUMAN	HXK3_HUMAN	U
HXK4_HUMAN	HKDC1_HUMAN	U
HXK4_HUMAN	PGM1_HUMAN	U
HXK4_HUMAN	PGM2_HUMAN	U
HXK4_HUMAN	chebi:16027	U
HXK4_HUMAN	chebi:17665	U
HXK4_HUMAN	chebi:17719	U
HXK4_HUMAN	chebi:17925	U
G6PI_HUMAN	ADPGK_HUMAN	U
G6PI_HUMAN	G6PC1	U
G6PI_HUMAN	G6PC2_HUMAN	U
G6PI_HUMAN	HXK4_HUMAN	U
G6PI_HUMAN	HXK1_HUMAN	U
G6PI_HUMAN	HXK2_HUMAN	U
G6PI_HUMAN	HXK3_HUMAN	U
G6PI_HUMAN	HKDC1_HUMAN	U
G6PI_HUMAN	PGM1_HUMAN	U
G6PI_HUMAN	PGM2_HUMAN	U
G6PI_HUMAN	chebi:17665	U
G6PI_HUMAN	chebi:17719	U
HXK1_HUMAN	ADPGK_HUMAN	U
HXK1_HUMAN	G6PC1	U
HXK1_HUMAN	G6PC2_HUMAN	U
HXK1_HUMAN	GALM_HUMAN	U
HXK1_HUMAN	HXK4_HUMAN	U
HXK1_HUMAN	G6PI_HUMAN	U
HXK1_HUMAN	HXK2_HUMAN	U
HXK1_HUMAN	HXK3_HUMAN	U
HXK1_HUMAN	HKDC1_HUMAN	U
HXK1_HUMAN	PGM1_HUMAN	U
HXK1_HUMAN	PGM2_HUMAN	U
HXK1_HUMAN	chebi:16027	U
HXK1_HUMAN	chebi:17665	U
HXK1_HUMAN	chebi:17719	U
HXK1_HUMAN	chebi:17925	U
HXK2_HUMAN	ADPGK_HUMAN	U
HXK2_HUMAN	G6PC1	U
HXK2_HUMAN	G6PC2_HUMAN	U
HXK2_HUMAN	GALM_HUMAN	U
HXK2_HUMAN	HXK4_HUMAN	U
