algorithm	labels
porphyrin_5886-omicsintegrator2-params-NIXQON6	1
porphyrin_5886-omicsintegrator2-params-I5EKII6	1
porphyrin_5886-omicsintegrator2-params-ON3OUHY	1
porphyrin_5886-omicsintegrator2-params-RCXKAY7	1
porphyrin_5886-omicsintegrator2-params-KMHTT5N	1
porphyrin_5886-omicsintegrator2-params-JHH34ZE	1
porphyrin_5886-omicsintegrator2-params-Z2C4Y5G	1
porphyrin_5886-omicsintegrator2-params-R2T74G3	1
porphyrin_5886-omicsintegrator2-params-O3SYN4K	1
porphyrin_5886-omicsintegrator2-params-K2CK6DC	4
porphyrin_5886-omicsintegrator2-params-ISZN2DE	4
porphyrin_5886-omicsintegrator2-params-J5QF4A3	2
porphyrin_5886-omicsintegrator2-params-ROZICUS	1
porphyrin_5886-omicsintegrator2-params-B6FPMEP	1
porphyrin_5886-omicsintegrator2-params-G6QWKUF	1
porphyrin_5886-omicsintegrator2-params-RNOITRI	1
porphyrin_5886-omicsintegrator2-params-24QHVS5	1
porphyrin_5886-omicsintegrator2-params-H5EGTCE	1
porphyrin_5886-omicsintegrator2-params-SX6MWZF	4
porphyrin_5886-omicsintegrator2-params-YYQQGSW	4
porphyrin_5886-omicsintegrator2-params-VKYXWNI	2
porphyrin_5886-omicsintegrator2-params-JMDFQGQ	5
porphyrin_5886-omicsintegrator2-params-2WECIOD	3
porphyrin_5886-omicsintegrator2-params-XLW3AU2	6
porphyrin_5886-omicsintegrator2-params-TK757XH	5
porphyrin_5886-omicsintegrator2-params-G3MKBIH	3
porphyrin_5886-omicsintegrator2-params-62LFP5D	1
porphyrin_5886-omicsintegrator2-params-QGDDCNR	4
porphyrin_5886-omicsintegrator2-params-BERGTKM	4
porphyrin_5886-omicsintegrator2-params-QUD5DGU	2
porphyrin_5886-omicsintegrator2-params-VUTDEKI	9
porphyrin_5886-omicsintegrator2-params-G5PCTWW	5
porphyrin_5886-omicsintegrator2-params-BLZ4Z5H	6
porphyrin_5886-omicsintegrator2-params-QA7UVT2	9
porphyrin_5886-omicsintegrator2-params-EUXS342	5
porphyrin_5886-omicsintegrator2-params-2ETE5TC	7
porphyrin_5886-omicsintegrator2-params-XQYZBRY	4
porphyrin_5886-omicsintegrator2-params-K44Y7SY	4
porphyrin_5886-omicsintegrator2-params-RIX5P6Y	2
porphyrin_5886-omicsintegrator2-params-KSSGLIJ	9
porphyrin_5886-omicsintegrator2-params-VOU2GLP	10
porphyrin_5886-omicsintegrator2-params-3XS3BUE	8
porphyrin_5886-omicsintegrator2-params-GWFZFC3	9
porphyrin_5886-omicsintegrator2-params-BBDIWEE	10
porphyrin_5886-omicsintegrator2-params-WSTZQ5T	8
porphyrin_5886-omicsintegrator2-params-FCBNYQN	4
porphyrin_5886-omicsintegrator2-params-ZK2ZPTQ	4
porphyrin_5886-omicsintegrator2-params-E7S3CYK	2
porphyrin_5886-omicsintegrator2-params-JDGM2QR	9
porphyrin_5886-omicsintegrator2-params-2VM5MQL	10
porphyrin_5886-omicsintegrator2-params-O2NMIFG	8
porphyrin_5886-omicsintegrator2-params-GIILIYF	9
porphyrin_5886-omicsintegrator2-params-DGG4UVF	10
porphyrin_5886-omicsintegrator2-params-CIOIRMT	8
