NODEID	prize
IMDH2_HUMAN	1.0
chebi:80625	1.0
chebi:16015	1.0
TPMT_HUMAN	1.0
chebi:31521	1.0
chebi:8990	1.0
UD110_HUMAN	1.0
GUAA_HUMAN	1.0
chebi:46345	1.0
CP2AD_HUMAN	1.0
chebi:40154	1.0
UD19_HUMAN	1.0
UD17_HUMAN	1.0
chebi:18050	1.0
chebi:28279	1.0
UDB15_HUMAN	1.0
chebi:80624	1.0
chebi:60761	1.0
UMPS_HUMAN	1.0
