NODEID	prize
ADH1G_HUMAN	1.0
MGST3_HUMAN	1.0
UDB17_HUMAN	1.0
chebi:34031	1.0
chebi:34962	1.0
chebi:17883	1.0
chebi:16602	1.0
chebi:29865	1.0
GSTT1_HUMAN	1.0
chebi:17659	1.0
GSTP1_HUMAN	1.0
UD2B7_HUMAN	1.0
UD2A2_HUMAN	1.0
chebi:34228	1.0
GSTA5_HUMAN	1.0
chebi:30956	1.0
MAAI_HUMAN	1.0
chebi:28142	1.0
UDB15_HUMAN	1.0
MGST2_HUMAN	1.0
GSTM1_HUMAN	1.0
GSTO2_HUMAN	1.0
CP2E1_HUMAN	1.0
chebi:34777	1.0
chebi:34564	1.0
AL3A1_HUMAN	1.0
