Sample	AveragePrecision
alanine__a_1510	0.01666549626475669
alanine__a_2535	0.023840829754640996
alanine__a_3273	0.020377713703927332
alanine__a_3711	0.02756488402912114
alanine__a_3781	0.005765693495472825
alanine__a_6130	0.012951682649446336
alanine__a_6672	0.004652461943309974
alanine__a_6727	0.015776017271887342
alanine__a_8527	0.013983867469272245
alanine__a_9941	0.024147258114805774
alpha_lino_1854	0.034492174871954634
alpha_lino_2371	0.034492174871954634
alpha_lino_4263	0.014063305432092332
alpha_lino_5783	0.0188720704153666
alpha_lino_6633	0.01690617642990536
alpha_lino_7454	0.01059344099751496
alpha_lino_9373	0.03082390836490034
alpha_lino_9806	0.015735415999148017
aminoacyl_1565	0.009369939692772134
aminoacyl_3815	0.025259887402708868
aminoacyl_3887	0.010717915554792625
aminoacyl_4856	0.011500597146681963
aminoacyl_5281	0.010522113043439987
aminoacyl_7666	0.020176062342407264
aminoacyl_9784	0.019328417363723652
amino_suga_1225	0.008175025304714206
amino_suga_1494	0.005220434322955136
amino_suga_1699	0.017724854773286707
amino_suga_1703	0.016733393145002846
amino_suga_1775	0.027177638750385723
amino_suga_2444	0.006768193651059615
amino_suga_3796	0.01858651499091285
amino_suga_5376	0.012591162187697477
amino_suga_6644	0.012734186439395319
amino_suga_9691	0.012829951851321414
arachidoni_1279	0.01788646904714307
arachidoni_1685	0.014876762241787345
arachidoni_2867	0.011624803834951977
arachidoni_2983	0.013899720705164221
arachidoni_3457	0.029204521326435987
arachidoni_4290	0.027740841664217964
arachidoni_5322	0.018617202776640952
arachidoni_6149	0.019799567248687276
arachidoni_8539	0.014159966524550116
beta_alani_2559	0.0161404347212461
beta_alani_2705	0.03907779016734118
beta_alani_3310	0.024228719600771463
beta_alani_7014	0.011626114658866841
beta_alani_7581	0.036495967957885365
beta_alani_7864	0.022376871568650807
beta_alani_7979	0.01930529668666142
beta_alani_8672	0.027006508837856234
biosynthes_3280	0.03489351490147376
biosynthes_3803	0.025257126133006277
biosynthes_4552	0.03244394717813082
biosynthes_4673	0.0316522042698697
biosynthes_4693	0.030699061837442233
biosynthes_5667	0.04075326014065941
biosynthes_6279	0.0334270477715444
biosynthes_6470	0.02772831683094829
biosynthes_9439	0.020247326863022223
butanoate_1100	0.01496865608224712
butanoate_1491	0.043247655353032745
butanoate_4180	0.04600546513765359
butanoate_4460	0.03221572089603416
butanoate_5284	0.05365173573832016
butanoate_6334	0.047682020081902796
butanoate_8350	0.036382390869088156
butanoate_8741	0.05065821381556156
citrate_cy_2573	0.041338235700339565
citrate_cy_3071	0.023425913354499034
citrate_cy_3195	0.017703965299842948
citrate_cy_5290	0.022623363713306442
citrate_cy_6943	0.012800208083848807
citrate_cy_8425	0.007779071545418569
citrate_cy_8698	0.026914543620786997
cysteine_a_2826	0.03688141622619853
cysteine_a_3400	0.04448358770297773
cysteine_a_3415	0.012106789523412154
cysteine_a_3585	0.023332857253173887
cysteine_a_5119	0.026136889574309048
cysteine_a_7360	0.021085661982016602
cysteine_a_8208	0.04578499212561915
cysteine_a_8285	0.0626240927662368
cysteine_a_8949	0.010234121729823499
cysteine_a_9500	0.04689695563046054
ether_lipi_1598	0.0064015306766085816
ether_lipi_2397	0.018928263394558442
ether_lipi_3063	0.014134526798101017
ether_lipi_3747	0.023097318486531064
ether_lipi_4088	0.0213994920153773
ether_lipi_4815	0.013708912007481843
ether_lipi_6855	0.004874111535284243
