gene_name,entry_name
MTR,A0A7P0T9G7_HUMAN
MTR,A0A494C1A2_HUMAN
MTR,A0A7P0TAV2_HUMAN
MTR,B1ANE3_HUMAN
UGT2B11,UDB11_HUMAN
UGT2B11,Q4W5B9_HUMAN
HMOX1,HMOX1_HUMAN
HMOX1,Q6FH11_HUMAN
HMOX1,D2K7W4_HUMAN
HMOX1,A0A7I2V3I1_HUMAN
HMOX1,A0A7I2V277_HUMAN
HMOX1,A0A7I2YQL9_HUMAN
HMOX1,A0A7I2V3M0_HUMAN
HMOX1,B1AHA8_HUMAN
HMOX1,F2YMD9_HUMAN
HMOX1,Q96DI8_HUMAN
CPT1A,CPT1A_HUMAN
CPT1A,H3BUV7_HUMAN
CPT1A,Q8WZ48_HUMAN
CPT1A,H3BP22_HUMAN
CPT1A,H3BUJ0_HUMAN
CPT1A,H3BMD2_HUMAN
GCLM,GSH0_HUMAN
ST6GALNAC1,SIA7A_HUMAN
ST6GALNAC1,G3XAD9_HUMAN
ST6GALNAC1,K7EJA8_HUMAN
ST6GALNAC1,K7ELU9_HUMAN
ST6GALNAC1,K7EJC9_HUMAN
ST6GALNAC1,K7EMB6_HUMAN
ST6GALNAC1,Q8TBJ6_HUMAN
AANAT,SNAT_HUMAN
AANAT,Q9GZS4_HUMAN
AANAT,F1T0I5_HUMAN
AANAT,Q9H3T0_HUMAN
AANAT,Q9H3T1_HUMAN
AANAT,K7ESH7_HUMAN
AANAT,K7ERF6_HUMAN
AANAT,Q9H3S9_HUMAN
PCCA,PCCA_HUMAN
PCCA,H0Y4B9_HUMAN
PCCA,A0A1B0GWI4_HUMAN
PCCA,Q5JTW6_HUMAN
PCCA,A0A1B0GTR1_HUMAN
PCCA,A0A1B0GUX9_HUMAN
PCCA,A0A1B0GWA1_HUMAN
PCCA,A0A1B0GU58_HUMAN
PCCA,H0Y5U0_HUMAN
PCCA,A0A2R8Y725_HUMAN
PCCA,Q5JVH2_HUMAN
PCCA,H0Y798_HUMAN
ACP6,PPA6_HUMAN
ACP6,V9GZ71_HUMAN
ACP6,A0A0A0MS36_HUMAN
ACP6,A0A087WYU6_HUMAN
ACP6,X5D7V3_HUMAN
ACP6,X5D319_HUMAN
ACP6,A0A087WWB7_HUMAN
ACP6,X5D9K6_HUMAN
